v33,v67,v2,v6,v42,v38,v56,v16,v19,v190,v5,v71,v94,v69,v60,v92,v97,v70,v93,v100,v88,v102,v46,v55,v32,v1,v15,v20,v87,v7,v66,v3,v14,v48,v10,v53,v39,v36,v18,v101,v96,v51,v41,v89,v12,v95,v4,v49,v23,v47,v21,v37,v103,v44,v72,v59,v54,v57,v9,v52,v26,v24,v65,v17,v68,v80,v85,v58,v79,v84,v61,v25,v86,v62,v64,v99,v11,v83,v8,v82,v63,v40,v50,v13,v73,v45,v22
v37,v17,v32,v24,v59,v52,v80,v47,v13,v15,v92,v3,v86,v102,v97,v16,v48,v82,v63,v23,v26,v85,v101,v103,v55,v33,v20,v67,v94,v14,v7,v36,v84,v83,v6,v9,v5,v79,v1,v54,v21,v50,v57,v100,v65,v190,v61,v38,v93,v99,v4,v12,v11,v44,v64,v62,v71,v56,v53,v70,v49,v69,v73,v87,v88,v95,v10,v72,v89,v39,v46,v60,v96,v41,v19,v22,v42,v58,v18,v66,v2,v8,v40,v68,v45,v25,v51
v103,v69,v57,v41,v23,v26,v32,v17,v14,v45,v37,v7,v15,v36,v99,v19,v8,v24,v33,v101,v11,v96,v44,v21,v66,v86,v94,v84,v93,v95,v9,v4,v25,v59,v60,v55,v92,v58,v6,v48,v18,v49,v39,v73,v67,v20,v50,v70,v83,v63,v42,v190,v62,v72,v13,v2,v87,v40,v102,v100,v85,v61,v53,v51,v89,v16,v22,v64,v38,v79,v82,v46,v47,v5,v80,v1,v54,v88,v68,v12,v52,v97,v65,v71,v56,v10,v3
v82,v84,v73,v92,v36,v85,v42,v94,v18,v48,v68,v64,v41,v1,v60,v50,v38,v45,v4,v58,v66,v69,v96,v14,v88,v12,v11,v71,v65,v83,v16,v5,v2,v13,v70,v15,v99,v80,v51,v93,v59,v87,v100,v86,v49,v101,v190,v17,v22,v24,v7,v53,v25,v46,v79,v3,v67,v62,v97,v32,v9,v33,v19,v63,v26,v37,v54,v23,v103,v8,v20,v6,v40,v52,v44,v95,v72,v56,v21,v39,v61,v57,v10,v55,v89,v102,v47
v66,v97,v47,v71,v11,v94,v8,v48,v58,v79,v7,v92,v3,v14,v10,v82,v56,v5,v49,v84,v45,v50,v99,v23,v68,v20,v83,v19,v44,v15,v13,v46,v17,v53,v57,v65,v32,v1,v67,v36,v59,v21,v73,v2,v103,v40,v9,v22,v52,v18,v51,v70,v38,v72,v62,v41,v100,v39,v85,v190,v16,v33,v89,v25,v101,v86,v69,v42,v61,v63,v64,v88,v95,v102,v55,v37,v12,v54,v26,v93,v24,v6,v80,v87,v4,v96,v60
v18,v23,v64,v87,v66,v17,v93,v3,v10,v79,v2,v99,v58,v1,v4,v103,v9,v190,v84,v37,v19,v57,v97,v102,v88,v22,v14,v70,v52,v55,v49,v8,v63,v54,v46,v67,v6,v26,v89,v69,v53,v85,v72,v94,v92,v60,v48,v100,v11,v95,v20,v61,v33,v59,v71,v7,v101,v68,v15,v50,v32,v82,v56,v51,v13,v25,v45,v38,v65,v83,v86,v47,v42,v36,v44,v80,v21,v40,v62,v24,v73,v39,v12,v5,v16,v96,v41
v86,v47,v69,v32,v80,v45,v14,v67,v53,v46,v8,v44,v41,v93,v68,v96,v25,v88,v12,v71,v52,v51,v54,v16,v49,v20,v37,v9,v50,v22,v100,v66,v103,v85,v18,v94,v17,v65,v40,v84,v97,v83,v3,v19,v79,v82,v92,v48,v10,v11,v60,v59,v62,v23,v42,v21,v38,v102,v87,v26,v57,v4,v5,v55,v101,v58,v15,v7,v24,v33,v70,v95,v99,v6,v56,v72,v61,v13,v64,v190,v1,v39,v89,v2,v63,v36,v73
v89,v60,v99,v21,v42,v71,v52,v51,v83,v50,v88,v57,v2,v41,v94,v4,v39,v102,v66,v19,v55,v22,v49,v40,v13,v67,v8,v45,v47,v70,v12,v68,v32,v33,v64,v48,v84,v3,v65,v44,v46,v103,v20,v69,v7,v26,v58,v93,v63,v97,v38,v92,v101,v62,v9,v73,v10,v56,v72,v54,v82,v23,v1,v15,v36,v96,v79,v59,v190,v95,v18,v11,v80,v5,v86,v14,v61,v16,v85,v6,v24,v25,v87,v100,v37,v17,v53
v72,v37,v57,v18,v48,v100,v50,v61,v10,v21,v84,v6,v1,v13,v9,v45,v97,v103,v63,v66,v39,v83,v54,v24,v40,v93,v59,v101,v22,v14,v94,v70,v2,v80,v38,v53,v46,v7,v20,v42,v4,v86,v68,v85,v64,v60,v82,v41,v15,v3,v5,v51,v23,v19,v99,v69,v96,v65,v47,v62,v79,v32,v55,v33,v44,v92,v12,v88,v25,v49,v17,v58,v71,v73,v102,v11,v52,v89,v190,v26,v8,v95,v36,v16,v87,v56,v67
v25,v62,v66,v5,v63,v44,v57,v101,v48,v88,v84,v85,v13,v94,v8,v15,v60,v1,v52,v92,v70,v7,v49,v12,v45,v41,v32,v39,v86,v3,v56,v61,v71,v102,v24,v9,v73,v69,v87,v72,v96,v47,v26,v20,v40,v53,v16,v65,v79,v46,v103,v22,v95,v17,v18,v21,v82,v64,v93,v14,v4,v11,v2,v10,v190,v38,v50,v58,v55,v42,v68,v80,v23,v67,v37,v97,v59,v83,v51,v19,v36,v100,v33,v99,v89,v6,v54
