v26,v36,v40,v47,v18,v38,v37,v49,v9,v48,v27,v31,v50,v15,v118,v53,v44,v1,v16,v41,v4,v33,v14,v46,v17,v34,v5,v3,v8,v54,v11,v25,v28,v39,v24,v30,v23,v32,v10,v13,v2,v35,v29,v6
v50,v23,v35,v14,v17,v18,v32,v28,v49,v54,v25,v8,v31,v13,v10,v44,v118,v6,v24,v46,v11,v40,v29,v16,v33,v36,v47,v38,v5,v41,v27,v9,v15,v26,v30,v34,v48,v4,v53,v1,v3,v2,v39,v37
v37,v8,v46,v25,v28,v54,v17,v13,v50,v4,v2,v10,v41,v33,v38,v1,v15,v47,v6,v29,v9,v5,v36,v18,v48,v16,v23,v49,v3,v27,v32,v39,v30,v34,v14,v26,v40,v24,v44,v118,v11,v31,v35,v53
v16,v9,v26,v53,v46,v41,v11,v24,v38,v8,v25,v4,v1,v29,v23,v35,v10,v34,v49,v13,v31,v54,v33,v17,v48,v36,v18,v3,v15,v39,v47,v27,v6,v2,v37,v30,v40,v32,v5,v14,v44,v50,v118,v28
v5,v26,v30,v50,v16,v8,v54,v35,v48,v40,v25,v38,v28,v10,v29,v32,v13,v24,v23,v118,v11,v17,v46,v3,v9,v14,v36,v4,v2,v39,v47,v37,v44,v41,v34,v6,v33,v53,v15,v18,v1,v31,v27,v49
v14,v1,v53,v4,v47,v5,v24,v10,v27,v41,v16,v26,v39,v17,v46,v36,v50,v18,v6,v34,v35,v11,v23,v48,v32,v33,v9,v40,v37,v8,v49,v31,v38,v3,v2,v29,v13,v25,v15,v28,v118,v30,v54,v44
v26,v4,v1,v47,v15,v40,v54,v53,v11,v36,v46,v41,v38,v30,v37,v13,v16,v48,v39,v2,v32,v3,v28,v31,v18,v29,v25,v8,v35,v10,v33,v49,v118,v14,v27,v6,v5,v44,v9,v34,v23,v50,v17,v24
v23,v17,v50,v28,v40,v27,v34,v39,v9,v8,v18,v25,v2,v3,v15,v14,v10,v24,v5,v6,v35,v26,v118,v37,v38,v13,v48,v44,v4,v36,v30,v47,v16,v53,v46,v32,v31,v1,v54,v11,v29,v33,v41,v49
v11,v13,v14,v16,v6,v34,v30,v1,v46,v40,v53,v18,v25,v35,v48,v36,v24,v28,v118,v33,v49,v29,v10,v50,v4,v31,v15,v3,v8,v23,v17,v26,v41,v37,v2,v47,v38,v44,v27,v5,v9,v54,v32,v39
v48,v23,v35,v34,v13,v14,v31,v10,v17,v16,v47,v8,v29,v41,v5,v53,v4,v33,v26,v27,v28,v1,v46,v30,v24,v15,v37,v118,v2,v54,v6,v50,v49,v40,v39,v38,v11,v36,v44,v18,v3,v25,v9,v32
v10,v38,v1,v48,v46,v3,v36,v41,v47,v15,v29,v34,v16,v8,v39,v9,v11,v2,v118,v50,v37,v44,v28,v5,v25,v31,v4,v54,v14,v17,v33,v35,v18,v23,v53,v13,v32,v6,v40,v24,v49,v27,v30,v26
v118,v10,v23,v32,v54,v6,v36,v25,v44,v16,v41,v3,v15,v9,v30,v47,v49,v50,v34,v5,v2,v39,v13,v1,v35,v4,v26,v18,v27,v40,v38,v8,v28,v46,v14,v33,v17,v24,v48,v11,v31,v37,v29,v53
v8,v28,v49,v34,v37,v40,v24,v29,v41,v27,v26,v33,v14,v35,v13,v46,v30,v50,v36,v32,v3,v53,v16,v6,v18,v54,v10,v25,v17,v47,v2,v48,v38,v118,v9,v5,v31,v39,v23,v4,v15,v11,v1,v44
v11,v10,v17,v26,v27,v3,v118,v13,v39,v40,v50,v37,v46,v28,v16,v36,v47,v49,v29,v24,v4,v5,v31,v33,v32,v15,v30,v1,v34,v44,v48,v18,v53,v8,v2,v9,v54,v23,v41,v25,v6,v14,v35,v38
v38,v31,v35,v17,v5,v33,v18,v27,v32,v13,v50,v9,v53,v4,v41,v40,v25,v8,v48,v16,v15,v11,v10,v47,v26,v30,v14,v24,v6,v37,v44,v39,v49,v3,v23,v54,v34,v36,v29,v118,v46,v2,v28,v1
v26,v41,v40,v10,v5,v25,v44,v11,v14,v53,v36,v54,v49,v17,v4,v32,v35,v33,v18,v47,v28,v13,v48,v46,v38,v15,v30,v27,v16,v2,v8,v24,v50,v118,v34,v3,v39,v37,v1,v29,v6,v23,v9,v31
v49,v39,v14,v17,v29,v118,v4,v50,v33,v18,v1,v27,v53,v24,v11,v5,v8,v36,v37,v6,v40,v41,v16,v30,v26,v32,v46,v23,v34,v28,v38,v44,v3,v47,v54,v13,v48,v2,v10,v25,v9,v15,v31,v35
v18,v32,v17,v54,v11,v24,v26,v9,v40,v41,v28,v4,v16,v10,v8,v31,v44,v1,v3,v48,v2,v14,v30,v33,v23,v37,v29,v34,v15,v49,v6,v118,v25,v38,v39,v53,v36,v46,v47,v27,v50,v35,v13,v5
v37,v10,v31,v35,v27,v26,v36,v18,v3,v29,v54,v14,v34,v47,v11,v33,v38,v17,v32,v46,v9,v4,v41,v40,v48,v25,v2,v23,v28,v49,v13,v118,v30,v8,v39,v16,v1,v44,v6,v24,v5,v53,v50,v15
v46,v38,v39,v47,v14,v16,v5,v50,v23,v53,v35,v24,v3,v10,v36,v30,v6,v9,v18,v8,v29,v31,v15,v48,v37,v26,v40,v25,v4,v27,v49,v2,v32,v17,v13,v34,v28,v11,v33,v1,v54,v41,v44,v118
v11,v36,v1,v15,v26,v3,v18,v50,v35,v41,v30,v17,v54,v27,v49,v4,v39,v34,v28,v48,v44,v29,v9,v2,v47,v16,v25,v46,v10,v118,v31,v40,v24,v38,v53,v14,v33,v6,v13,v23,v37,v5,v8,v32
v24,v23,v11,v15,v38,v33,v54,v8,v9,v32,v48,v40,v31,v29,v5,v47,v39,v26,v50,v13,v28,v41,v27,v1,v17,v2,v30,v6,v14,v49,v34,v37,v53,v16,v44,v35,v3,v18,v46,v4,v118,v10,v36,v25
v3,v46,v118,v38,v27,v44,v53,v18,v8,v6,v2,v41,v15,v30,v9,v50,v54,v23,v48,v32,v11,v5,v24,v28,v39,v4,v10,v47,v33,v14,v13,v37,v16,v1,v31,v35,v40,v17,v34,v25,v26,v29,v36,v49
v29,v33,v16,v1,v9,v39,v50,v17,v35,v30,v24,v3,v41,v49,v36,v32,v5,v53,v46,v13,v10,v38,v4,v34,v44,v47,v18,v8,v14,v2,v48,v27,v118,v31,v11,v26,v54,v37,v23,v28,v6,v15,v25,v40
v41,v39,v36,v47,v24,v48,v1,v6,v26,v25,v4,v34,v9,v54,v31,v18,v37,v15,v118,v23,v53,v27,v28,v10,v3,v33,v5,v8,v16,v50,v49,v32,v38,v13,v11,v30,v29,v14,v40,v46,v44,v2,v35,v17
v38,v49,v18,v16,v10,v11,v25,v24,v53,v47,v30,v40,v44,v1,v54,v50,v17,v31,v14,v35,v33,v32,v34,v3,v29,v23,v48,v15,v118,v46,v2,v41,v37,v4,v36,v5,v39,v6,v26,v8,v28,v13,v9,v27
